Year,Species Common,Estimated Exvessel Value (nominal),Number Of Fish,Pounds
2013,Sockeye,318219779.6,29523635,179514485
2014,Chinook,25387712.63,495982,5971364
2014,Chum,62425788.7,10935710,91757589
2014,Coho,51848202.33,6244552,44516944
2014,Pink,100517640.3,94750320,326210099
2014,Sockeye,378888617.8,44002700,247417128
2015,Chinook,20699866.24,516526,5951054
2015,Chum,73834700.05,18062598,136554035
2015,Coho,19437218,3848730,25460971
2015,Pink,143148572.3,188300541,637095779
2015,Sockeye,237439110.7,54389704,290207501
2016,Chinook,23683986.22,417004,4875519
2016,Chum,70472010.26,15614886,117668846
2016,Coho,32489902.5,3905127,27622436
2016,Pink,53033211.53,38167711,150097952
2016,Sockeye,305529637.7,53132236,287428657
2017,Chinook,18021997.11,263178,3154151
2017,Chum,136338365.5,24645894,191662113
2017,Coho,41008096.86,5241586,32811124
2017,Pink,194608346.6,139200058,515241483
2017,Sockeye,398154779.3,53487562,290907323
2018,Chinook,16022688.5,243123,2794356
2018,Chum,121731194.5,19931257,158658985
2018,Coho,35687800.22,3681825,27365459
2018,Pink,67890278.3,39386150,149534030
2018,Sockeye,344320194.1,50575853,259374505
